name annotation description region distance subregion insideDistance exonnumber nexons UTR strand geneL codingL Geneid subjectHits CpG pval p.adjusted
ACTR3BP2 "NM_001032412 NR_027714" downstream downstream 188804 NA NA NA 1 NA + 1337 NA 440888 36222 cg14929421 2.801702861934268e-6 0.19772711333973567
SLC41A2 "NM_001352169 NM_001352170 NM_001352171 NM_001352172 NM_032148 NP_001339098 NP_001339099 NP_001339100 NP_001339101 NP_115524 XM_005269179 XM_011538808 XM_011538810 XM_011538811 XM_011538813 XM_017020013 XM_017020014 XM_017020015 XM_017020016 XM_017020017 XM_024449219 XP_005269236 XP_011537110 XP_011537112 XP_011537113 XP_011537115 XP_016875502 XP_016875503 XP_016875504 XP_016875505 XP_016875506 XP_024304987" "inside intron" inside 101082 "inside intron" 16859 9 10 "inside transcription region" - 125197 NA 84102 64801 cg24073653 2.9239048075357837e-6 0.19772711333973567
CCDC71L "NM_175884 NP_787080" downstream downstream 130884 NA NA NA 1 NA - 4423 NA 168455 14900 cg04331667 3.2062840689553603e-6 0.20014414397574795
ST8SIA6 "NM_001004470 NM_001345961 NP_001004470 NP_001332890 NR_144322 XM_017016174 XM_017016175 XM_024447974 XM_024447975 XM_024447976 XM_024447977 XM_024447978 XP_016871663 XP_016871664 XP_024303742 XP_024303743 XP_024303744 XP_024303745 XP_024303746" "inside intron" inside 67607 "inside intron" 3882 3 7 "inside transcription region" - 133578 NA 338596 30199 cg12601237 3.6866776039800874e-6 0.2136935273006435
P2RX6P NR_002829 promoter promoter 410 NA NA NA 2 NA - 1857 NA 440799 36208 cg11652329 4.735887687280477e-6 0.24062167771140844
FANCC "NM_000136 NM_001243743 NM_001243744 NP_000127 NP_001230672 NP_001230673 XM_005251802 XM_006717001 XM_006717002 XM_006717004 XM_011518365 XM_011518366 XM_011518367 XM_017014452 XM_017014453 XM_017014454 XM_024447451 XP_005251859 XP_006717064 XP_006717065 XP_006717067 XP_011516667 XP_011516668 XP_011516669 XP_016869941 XP_016869942 XP_016869943 XP_024303219" "inside intron" inside 25103 "inside intron" 24919 1 8 "inside transcription region" - 167786 NA 2176 17529 cg14115740 4.744281944101155e-6 0.24062167771140844
S100A11 "NM_005620 NP_005611" downstream downstream 23399 NA NA NA 3 NA - 4529 NA 6282 51500 cg26715639 6.43360504273746e-6 0.3071070013730063
CCR3 "NM_001164680 NM_001837 NM_178328 NM_178329 NP_001158152 NP_001828 NP_847898 NP_847899 XM_006712960 XM_011533335 XM_017005685 XM_017005686 XP_006713023 XP_011531637 XP_016861174 XP_016861175" promoter promoter 304 NA NA NA 4 NA + 103101 NA 1232 9387 cg23493751 7.63978724506501e-6 0.34442367950401637
ZNF107 "NM_001013746 NM_001282359 NM_001282360 NM_016220 NP_001013768 NP_001269288 NP_001269289 NP_057304 NR_104148 NR_104149 XM_017012283 XM_017012285 XM_017012286 XM_024446791 XP_016867772 XP_016867774 XP_016867775 XP_024302559" promoter promoter 1105 NA NA NA 5 NA + 44890 NA 51427 40046 cg19933320 8.195900458084426e-6 0.35004777129114983
RNF24 "NM_001134337 NM_001134338 NM_001321749 NM_007219 NP_001127809 NP_001127810 NP_001308678 NP_009150 XM_011529145 XM_011529146 XM_011529147 XM_017027620 XM_017027621 XM_017027622 XP_011527447 XP_011527448 XP_011527449 XP_016883109 XP_016883110 XP_016883111" upstream upstream 8198 NA NA NA 6 NA - 84147 NA 11237 7408 cg09210005 1.007973444268469e-5 0.4089811931181542
GDA "NM_001242505 NM_001242506 NM_001242507 NM_001351571 NM_001351572 NM_001351573 NM_004293 NP_001229434 NP_001229435 NP_001229436 NP_001338500 NP_001338501 NP_001338502 NP_004284 NR_147240 XM_005252317 XM_011519213 XM_011519214 XM_011519215 XM_011519216 XM_011519217 XM_011519218 XM_011519219 XM_011519220 XM_011519221 XM_011519222 XM_011519223 XM_017015333 XM_017015335 XM_017015338 XM_017015340 XM_024447720 XP_005252374 XP_011517515 XP_011517516 XP_011517517 XP_011517518 XP_011517519 XP_011517520 XP_011517521 XP_011517522 XP_011517523 XP_011517524 XP_011517525 XP_016870822 XP_016870824 XP_016870827 XP_016870829 XP_024303488 XR_001746423 XR_001746424 XR_002956833 XR_002956834 XR_929878" "inside intron" inside 11664 "inside intron" -2743 4 10 "inside transcription region" + 35349 NA 9615 71872 cg00872998 1.141389771785027e-5 0.43207916188684115
CLEC2A "NM_001130711 NM_207375 NP_001124183 NP_997258 XM_011520654 XM_011520656 XM_011520657 XP_011518956 XP_011518958 XP_011518959" promoter promoter 1297 NA NA NA 5 NA - 19154 NA 387836 32771 cg16072655 1.1937527129846196e-5 0.43207916188684115
SRPK2 "NM_001278273 NM_001350738 NM_001350739 NM_001350740 NM_001350741 NM_001350742 NM_001350743 NM_001350744 NM_001350745 NM_001350746 NM_182691 NM_182692 NP_001265202 NP_001337667 NP_001337668 NP_001337669 NP_001337670 NP_001337671 NP_001337672 NP_001337673 NP_001337674 NP_001337675 NP_872633 NP_872634 XM_006716098 XM_011516536 XM_011516538 XM_017012561 XM_024446893 XM_024446894 XM_024446895 XP_006716161 XP_011514838 XP_011514840 XP_016868050 XP_024302661 XP_024302662 XP_024302663 XR_001744859 XR_001744860 XR_001744861 XR_001744862 XR_001744863" "inside intron" inside 154685 "inside intron" 24139 2 12 "inside transcription region" - 266347 NA 6733 55288 cg06831761 1.2246356986140772e-5 0.43207916188684115
KYNU "NM_001032998 NM_001199241 NM_003937 NP_001028170 NP_001186170 NP_003928 XM_011512102 XM_017005217 XM_024453208 XP_011510404 XP_016860706 XP_024308976 XR_923058" promoter promoter 1574 NA NA NA 15 NA + 164690 NA 8942 68391 cg11805548 1.3644423886056091e-5 0.4613475345059762
CAVIN2 "NM_004657 NP_004648" upstream upstream 34837 NA NA NA 2 NA - 12974 NA 8436 65376 cg04749066 1.4227575972719281e-5 0.4618225632501566
CAPS2 "NM_001286547 NM_001286548 NM_001355023 NM_001355024 NM_001355025 NM_001355026 NM_001355027 NM_001355030 NM_001355031 NM_001355032 NM_001355033 NM_032606 NP_001273476 NP_001273477 NP_001341952 NP_001341953 NP_001341954 NP_001341955 NP_001341956 NP_001341959 NP_001341960 NP_001341961 NP_001341962 NP_115995 NR_149155 NR_149156 NR_149157 NR_149158 NR_149159 NR_149160 NR_149161 XM_005269192 XM_005269194 XM_006719648 XM_006719649 XM_011538878 XM_011538886 XM_011538887 XM_011538888 XM_011538889 XM_011538890 XM_017020036 XM_017020039 XM_024449226 XP_005269249 XP_005269251 XP_006719711 XP_006719712 XP_011537180 XP_011537188 XP_011537189 XP_011537190 XP_011537191 XP_011537192 XP_016875525 XP_016875528 XP_024304994 XR_944789" "inside intron" inside 85445 "inside intron" -595 5 11 "5' UTR" - 113696 NA 84698 65922 cg00359110 1.5449825940680507e-5 0.48220808277902716
MNAT1 "NM_001177963 NM_002431 NP_001171434 NP_002422 XM_005267687 XM_005267688 XM_017021332 XM_017021333 XM_017021334 XM_024449599 XP_005267744 XP_005267745 XP_016876821 XP_016876822 XP_016876823 XP_024305367" "inside intron" inside 54669 "inside intron" 6801 2 7 "inside transcription region" + 233939 NA 4331 35767 cg27097806 1.6420783605091525e-5 0.4935309084912197
GRIK4 "NM_001282470 NM_001282473 NM_014619 NP_001269399 NP_001269402 NP_055434 XM_011542784 XM_011542786 XM_011542787 XM_017017621 XM_017017622 XP_011541086 XP_011541088 XP_011541089 XP_016873110 XP_016873111" "inside intron" inside 36432 "inside intron" -36303 1 21 "5' UTR" + 474501 NA 2900 27594 cg19981982 1.8207906081585507e-5 0.5023805154313431
ACADSB "NM_001330174 NM_001609 NP_001317103 NP_001600" "inside intron" inside 3571 "inside intron" -3482 1 10 "5' UTR" + 49311 NA 36 31436 cg07971827 1.8344588679764856e-5 0.5023805154313431
CMIP "NM_030629 NM_198390 NP_085132 NP_938204 XM_005256179 XM_005256181 XM_005256182 XM_011523352 XM_011523353 XM_017023733 XP_005256236 XP_005256238 XP_005256239 XP_011521654 XP_011521655 XP_016879222" "inside intron" inside 16548 "inside intron" -16402 1 21 "inside transcription region" + 216413 NA 80790 62962 cg01998014 1.8572475715028975e-5 0.5023805154313431
FAM86B3P "NR_024361 NR_024362 NR_024363" "inside intron" inside 9966 "inside intron" -1260 7 9 "inside transcription region" + 16295 NA 286042 27182 cg22946761 1.9835033501371604e-5 0.5192248711643563
LINC00662 NR_027301 downstream downstream 551795 NA NA NA 3 NA - 3447 NA 148189 12534 cg10273538 2.1328586629131038e-5 0.5408742944014626
RPRD2 "NM_001297673 NM_001297674 NM_015203 NP_001284602 NP_001284603 NP_056018 XM_005245033 XM_006711240 XM_011509344 XM_017000763 XM_017000765 XM_017000766 XM_017000767 XP_005245090 XP_006711303 XP_011507646 XP_016856252 XP_016856254 XP_016856255 XP_016856256" promoter promoter 2366 NA NA NA 11 NA + 112051 NA 23248 20232 cg19115530 2.6075829646781515e-5 0.6201201772195655
MIR99AHG "NR_027790 NR_027791 NR_111004 NR_111005 NR_136541 NR_136542 NR_136543 NR_136544 NR_136545 NR_136546 NR_136547 NR_136548 NR_136549 NR_136550 NR_136551 NR_136552" "inside intron" inside 72599 "inside intron" 37872 2 7 "inside transcription region" + 538660 NA 388815 32992 cg11386360 2.6347705513330947e-5 0.6201201772195655
EMBP1 NR_003955 downstream downstream 102213 NA NA NA 4 NA + 7262 NA 647121 53345 cg00388905 2.712129485599531e-5 0.6201201772195655
LINC00662 NR_027301 downstream downstream 552134 NA NA NA 3 NA - 3447 NA 148189 12534 cg03226121 2.799470072171479e-5 0.6201201772195655
HDAC1 "NM_004964 NP_004955 XM_011541309 XP_011539611" "inside exon" inside 1292 "inside exon" 0 2 7 "inside transcription region" + 4143 NA 3065 28646 cg09755032 2.8274396490814357e-5 0.6201201772195655
NCAPD2 "NM_014865 NP_055680" "inside intron" inside 13679 "inside intron" 1900 3 31 "inside transcription region" + 37834 NA 9918 73143 cg26835798 3.0312306264796622e-5 0.6258237743694642
SP100 "NM_001080391 NM_001206701 NM_001206702 NM_001206703 NM_001206704 NM_003113 NP_001073860 NP_001193630 NP_001193631 NP_001193632 NP_001193633 NP_003104" "inside exon" inside 40666 "inside exon" 0 8 8 3'UTR + 41416 NA 6672 55105 cg02489379 3.049853175293351e-5 0.6258237743694642
EFCAB7 "NM_032437 NP_115813 XM_005271274 XM_006710976 XM_006710977 XM_011542301 XM_017002548 XP_005271331 XP_006711039 XP_006711040 XP_011540603 XP_016858037 XR_001737486 XR_001737487 XR_001737488 XR_002957809 XR_946779" "inside intron" inside 25630 "inside intron" 2747 8 14 "inside transcription region" + 49351 NA 84455 65473 cg18803079 3.0848056388453084e-5 0.6258237743694642
ZBTB49 "NM_001330625 NM_145291 NP_001317554 NP_660334 NR_138481 XM_005247951 XM_011513416 XM_024453916 XP_005248008 XP_011511718 XP_024309684 XR_001741154 XR_241646" "inside intron" inside 6884 "inside intron" -6103 1 2 "inside transcription region" + 19475 NA 166793 14807 cg10735211 3.2882630098252296e-5 0.6508290552119744
ANKDD1B "NM_001271529 NM_001276713 NP_001263642 XM_011543618 XM_011543623 XM_017009814 XM_017009815 XM_017009816 XM_017009817 XP_011541920 XP_011541925 XP_016865303 XP_016865304 XP_016865305 XP_016865306" upstream upstream 2812 NA NA NA 14 NA + 60370 NA 728780 57689 cg08971592 3.3842226965227454e-5 0.6538737248682466
CYP2A7 "NM_000764 NM_030589 NP_000755 NP_085079 XR_935754" "inside intron" inside 145779 "inside intron" -727 2 9 "inside transcription region" - 152824 NA 1549 13645 cg00420847 3.518873759344599e-5 0.6640785824925739
MCM10 "NM_018518 NM_182751 NP_060988 NP_877428 XM_011519538 XP_011517840" "inside intron" inside 2065 "inside intron" 503 2 19 "5' UTR" + 49550 NA 55388 44908 cg01490296 3.706974586617997e-5 0.6836773230099572
FAM110B "NM_147189 NP_671722 XM_005251324 XM_005251325 XM_005251326 XM_017013948 XP_005251381 XP_005251382 XP_005251383 XP_016869437" "inside intron" inside 103520 "inside intron" -22450 4 5 "5' UTR" + 155164 NA 90362 68905 cg11372704 4.3737289610347936e-5 0.73691986764524
TMEM18 "NM_001352680 NM_001352681 NM_152834 NP_001339609 NP_001339610 NP_690047" downstream downstream 120665 NA NA NA 5 NA - 9466 NA 129787 10342 cg14118679 4.410921317867004e-5 0.73691986764524
PSIP1 "NM_001128217 NM_001317898 NM_001317900 NM_021144 NM_033222 NP_001121689 NP_001304827 NP_001304829 NP_066967 NP_150091 XM_024447399 XM_024447400 XM_024447401 XM_024447402 XP_024303167 XP_024303168 XP_024303169 XP_024303170" upstream upstream 16814 NA NA NA 11 NA - 40361 NA 11168 7182 cg14380045 4.45915448780422e-5 0.73691986764524
PUS10 "NM_001322123 NM_001322124 NM_001322127 NM_144709 NP_001309052 NP_001309053 NP_001309056 NP_653310 XM_011532568 XM_011532570 XM_011532571 XM_011532573 XM_011532574 XM_011532576 XM_011532578 XM_017003428 XM_017003429 XM_024452720 XP_011530870 XP_011530872 XP_011530873 XP_011530875 XP_011530876 XP_011530878 XP_011530880 XP_016858917 XP_016858918 XP_024308488" "inside intron" inside 43330 "inside intron" -3337 5 17 "5' UTR" - 77817 NA 150962 13068 cg24505974 4.4721056883525255e-5 0.73691986764524
ZMYM4 "NM_001350138 NM_001350139 NM_001350140 NM_005095 NP_001337067 NP_001337068 NP_001337069 NP_005086 XM_005271328 XM_005271331 XM_017002803 XM_017002805 XM_024450838 XP_005271385 XP_005271388 XP_016858292 XP_016858294 XP_024306606 XR_001737542 XR_246305" "inside intron" inside 51125 "inside intron" -1890 25 29 "inside transcription region" + 63019 NA 9202 69971 cg19501543 4.508701674716852e-5 0.73691986764524
KLHDC10 "NM_014997 NP_055812 XM_005250233 XP_005250290" downstream downstream 71247 NA NA NA 8 NA + 65211 NA 23008 19313 cg02630604 4.6120640174258526e-5 0.73691986764524
B4GALT7 "NM_007255 NP_009186 XM_006714816 XM_017008999 XP_006714879 XP_016864488" downstream downstream 7255 NA NA NA 5 NA + 6485 NA 11285 7687 cg05174883 4.643471612016079e-5 0.73691986764524
ULBP3 "NM_024518 NP_078794" "inside intron" inside 2178 "inside intron" -948 2 3 "inside transcription region" - 3749 NA 79465 60605 cg01271049 4.827653604341426e-5 0.73691986764524
MYL6 "NM_021019 NM_079423 NM_079425 NP_066299 NP_524147" "inside exon" inside 3280 "inside exon" 0 8 8 3'UTR + 3321 NA 4637 36954 cg07074586 4.940398655502007e-5 0.73691986764524
GIMAP7 "NM_153236 NP_694968" promoter promoter 1155 NA NA NA 2 NA + 6216 NA 168537 14903 cg01444712 5.0463012815475414e-5 0.73691986764524
KIF23 "NM_001281301 NM_001367804 NM_001367805 NM_004856 NM_138555 NP_001268230 NP_001354733 NP_001354734 NP_004847 NP_612565 NR_160295 NR_160296 XM_005254797 XM_005254798 XM_005254799 XM_011522238 XM_011522239 XM_017022733 XM_024450110 XP_005254854 XP_005254855 XP_005254856 XP_011520540 XP_011520541 XP_016878222 XP_024305878" "inside intron" inside 12054 "inside intron" 523 7 18 "inside transcription region" + 25525 NA 9493 71437 cg20762182 5.064649292193041e-5 0.73691986764524
TMEM109 "NM_024092 NP_076997" "inside intron" inside 4465 "inside intron" 1316 2 4 "5' UTR" + 9544 NA 79073 59872 cg24299813 5.203201864850926e-5 0.73691986764524
ZNF768 "NM_024671 NP_078947 XM_017023665 XM_017023666 XP_016879154 XP_016879155" "inside intron" inside 3331 "inside intron" 711 3 4 "5' UTR" - 10897 NA 79724 61055 cg01174674 5.20664510360451e-5 0.73691986764524
PHTF2 "NM_001127357 NM_001127358 NM_001127359 NM_001127360 NM_001366081 NM_001366082 NM_001366083 NM_001366084 NM_001366085 NM_001366086 NM_001366087 NM_001366088 NM_001366089 NM_020432 NP_001120829 NP_001120830 NP_001120831 NP_001120832 NP_001353010 NP_001353011 NP_001353012 NP_001353013 NP_001353014 NP_001353015 NP_001353016 NP_001353017 NP_001353018 NP_065165 XM_005250508 XM_005250509 XM_006716063 XM_011516422 XM_011516423 XM_011516424 XM_017012459 XP_005250565 XP_005250566 XP_006716126 XP_011514724 XP_011514725 XP_011514726 XP_016867948" "inside intron" inside 15286 "inside intron" -672 2 19 "inside transcription region" + 117283 NA 57157 47994 cg13891671 5.323131691701303e-5 0.73691986764524
PCBP2 "NM_001098620 NM_001128911 NM_001128912 NM_001128913 NM_001128914 NM_005016 NM_031989 NP_001092090 NP_001122383 NP_001122384 NP_001122385 NP_001122386 NP_005007 NP_114366" "inside exon" inside 3792 "inside exon" 0 5 15 "inside transcription region" + 29060 NA 5094 38842 cg22552448 5.357818954600804e-5 0.73691986764524
PHC2 "NM_001330488 NM_004427 NM_198040 NP_001317417 NP_004418 NP_932157" "inside intron" inside 55280 "inside intron" -135 2 7 "5' UTR" - 63898 NA 1912 15989 cg23710594 5.6572352091915234e-5 0.7606693320363089
LOC100289230 NR_036530 downstream downstream 8326 NA NA NA 1 NA + 1875 NA 100289230 1203 cg16525244 5.7313848222411714e-5 0.7606693320363089
CSE1L "NM_001256135 NM_001316 NM_001362762 NM_177436 NP_001243064 NP_001307 NP_001349691 NR_045796" "inside intron" inside 6751 "inside intron" -696 5 17 "inside transcription region" + 24392 NA 1434 11740 cg06719602 5.854699918588458e-5 0.7606693320363089
KIF2A "NM_001098511 NM_001243952 NM_001243953 NM_004520 NP_001091981 NP_001230881 NP_001230882 NP_004511 XR_001742064" upstream upstream 231680 NA NA NA 20 NA + 81022 NA 3796 32429 cg26689710 5.9176978488826765e-5 0.7606693320363089
PGM2 "NM_018290 NP_060760 XM_011513711 XP_011512013" promoter promoter 789 NA NA NA 12 NA + 36277 NA 55276 44545 cg01621711 6.258897615452365e-5 0.7606693320363089
UBE2V2 "NM_003350 NP_003341 XM_011517583 XM_017013808 XP_011515885 XP_016869297" "inside exon" inside 34665 "inside exon" 0 2 4 "inside transcription region" + 53459 NA 7336 58097 cg06276780 6.429946805207021e-5 0.7606693320363089
BCR "NM_004327 NM_021574 NP_004318 NP_067585" downstream downstream 106048 NA NA NA 23 NA + 101288 NA 613 51084 cg23436282 6.51531114125869e-5 0.7606693320363089
TXNRD1 "NM_001093771 NM_001261445 NM_001261446 NM_003330 NM_182729 NM_182742 NM_182743 NP_001087240 NP_001248374 NP_001248375 NP_003321 NP_877393 NP_877419 NP_877420" "inside intron" inside 49749 "inside intron" -7448 3 17 "inside transcription region" + 134528 NA 7296 57879 cg25027799 6.533340298444893e-5 0.7606693320363089
LINC00221 NR_027457 upstream upstream 71866 NA NA NA 3 NA + 13074 NA 338005 30153 cg20332112 6.707414976604848e-5 0.7606693320363089
TRIB2 "NM_021643 NP_067675 NR_027303" upstream upstream 128891 NA NA NA 3 NA + 25860 NA 28951 27458 cg04802018 6.824984856120576e-5 0.7606693320363089
ELAC2 "NM_001165962 NM_018127 NM_173717 NP_001159434 NP_060597 NP_776065 XM_024450850 XM_024450851 XM_024450852 XM_024450853 XM_024450854 XM_024450855 XM_024450856 XM_024450857 XM_024450858 XM_024450859 XM_024450860 XM_024450861 XM_024450862 XP_024306618 XP_024306619 XP_024306620 XP_024306621 XP_024306622 XP_024306623 XP_024306624 XP_024306625 XP_024306626 XP_024306627 XP_024306628 XP_024306629 XP_024306630" upstream upstream 2876 NA NA NA 23 NA - 26452 NA 60528 50918 cg01559375 6.839760829539354e-5 0.7606693320363089
H3-5 "NM_001013699 NP_001013721" "inside exon" inside 363 "inside exon" -0 1 1 "inside transcription region" - 1056 NA 440093 36051 cg12278653 6.97551063552437e-5 0.7606693320363089
TSBP1 "NM_001286474 NM_001286475 NM_006781 NP_001273403 NP_001273404 NP_006772 XM_017010182 XM_017010183 XM_024446306 XM_024446307 XP_016865671 XP_016865672 XP_024302074 XP_024302075" "inside intron" inside 46240 "inside intron" -2019 17 24 "inside transcription region" - 78898 NA 10665 5616 cg10043709 7.053196402272735e-5 0.7606693320363089
IP6K1 "NM_001006115 NM_001242829 NM_153273 NP_001006115 NP_001229758 NP_695005" "inside exon" inside 61838 "inside exon" -0 5 5 3'UTR - 62247 NA 9807 72662 cg27076861 7.184350472132444e-5 0.7606693320363089
NGEF "NM_001114090 NM_019850 NP_001107562 NP_062824 XM_011510923 XM_011510924 XM_011510925 XP_011509225 XP_011509226 XP_011509227" "inside intron" inside 28025 "inside intron" -5204 4 4 "inside transcription region" - 33549 NA 25791 22774 cg22829375 7.203229090245787e-5 0.7606693320363089
PRIM2 "NM_000947 NM_001282487 NM_001282488 NP_000938 NP_001269416 NP_001269417 XM_011514731 XM_017011004 XM_017011005 XM_017011006 XM_024446483 XP_011513033 XP_016866493 XP_016866494 XP_016866495 XP_024302251" "inside intron" inside 29438 "inside intron" -21016 5 16 "inside transcription region" + 330954 NA 5558 45168 cg06764475 7.238897608689581e-5 0.7606693320363089
PCARE "NM_001029883 NP_001025054" promoter promoter 1347 NA NA NA 2 NA - 12571 NA 388939 33005 cg20836546 7.391771714640275e-5 0.7606693320363089
PTPN1 "NM_001278618 NM_002827 NP_001265547 NP_002818" upstream upstream 55489 NA NA NA 9 NA + 74195 NA 5770 49260 cg10660913 7.483316669416006e-5 0.7606693320363089
CHD7 "NM_001316690 NM_017780 NP_001303619 NP_060250 XM_011517553 XM_011517554 XM_011517555 XM_011517560 XM_017013612 XM_017013613 XP_011515855 XP_011515856 XP_011515857 XP_011515862 XP_016869101 XP_016869102" "inside intron" inside 69704 "inside intron" -29912 2 5 "inside transcription region" + 126768 NA 55636 45363 cg17506437 7.493305375867547e-5 0.7606693320363089
OAS1 "NM_001032409 NM_001320151 NM_002534 NM_016816 NP_001027581 NP_001307080 NP_002525 NP_058132 XM_006719434 XM_011538413 XM_017019361 XM_017019362 XP_006719497 XP_011536715 XP_016874850 XP_016874851 XR_944558" "inside intron" inside 12487 "inside intron" -1720 5 6 "inside transcription region" + 25251 NA 4938 38031 cg18217049 7.583715877206475e-5 0.7606693320363089
KIAA0895L "NM_001040715 NM_001369680 NM_001369681 NM_001369682 NM_001369684 NM_001369685 NM_001369686 NM_001369687 NP_001035805 NP_001356609 NP_001356610 NP_001356611 NP_001356613 NP_001356614 NP_001356615 NP_001356616" "inside exon" inside 7306 "inside exon" -0 8 8 3'UTR - 8438 NA 653319 54318 cg10031648 7.658020932411203e-5 0.7606693320363089
XKR8 "NM_018053 NP_060523 XM_011541679 XM_011541680 XP_011539981 XP_011539982 XR_946682" downstream downstream 8555 NA NA NA 3 NA + 8100 NA 55113 43910 cg27614704 7.688302793668671e-5 0.7606693320363089
C5orf52 "NM_001145132 NP_001138604 XM_011534416 XM_017008909 XP_011532718 XP_016864398" downstream downstream 20426 NA NA NA 3 NA + 8601 NA 100190949 925 cg24194998 7.771190361902622e-5 0.7606693320363089
KIAA0319 "NM_001168374 NM_001168375 NM_001168376 NM_001168377 NM_001252328 NM_001350403 NM_001350404 NM_001350405 NM_001350406 NM_001350407 NM_001350408 NM_001350409 NM_001350410 NM_014809 NP_001161846 NP_001161847 NP_001161848 NP_001161849 NP_001239257 NP_001337332 NP_001337333 NP_001337334 NP_001337335 NP_001337336 NP_001337337 NP_001337338 NP_001337339 NP_055624 XM_011515026 XM_017011541 XM_017011542 XM_017011544 XM_017011546 XM_017011547 XM_017011550 XM_017011551 XP_011513328 XP_016867030 XP_016867031 XP_016867033 XP_016867035 XP_016867036 XP_016867039 XP_016867040 XR_001743779 XR_001743780" "inside exon" inside 385 "inside exon" -0 1 19 "5' UTR" - 102051 NA 9856 72861 cg11457367 7.843278203194204e-5 0.7606693320363089
ZNF628 "NM_033113 NP_149104 XM_005259371 XM_024451752 XP_005259428 XP_024307520" "inside exon" inside 5227 "inside exon" 0 3 3 "inside transcription region" + 8155 NA 89887 68590 cg12450907 7.873919137964386e-5 0.7606693320363089
POM121L12 "NM_182595 NP_872401" downstream downstream 151598 NA NA NA 1 NA + 1269 NA 285877 27120 cg17678740 8.19202414594557e-5 0.7820896539107838
LINC00293 "NR_027012 NR_027013" upstream upstream 896092 NA NA NA 12 NA + 14899 NA 497634 38202 cg05053829 8.37552055083984e-5 0.7843586380666794
METTL5 "NM_001293186 NM_001293187 NM_014168 NP_001280115 NP_001280116 NP_054887 XM_011511023 XP_011509325" "inside exon" inside 3663 "inside exon" -0 4 8 "inside transcription region" - 13152 NA 29081 27708 cg02173085 8.40910341837025e-5 0.7843586380666794
